fit_time,score_time,test_tn,test_fp,test_fn,test_tp,,BACC,Se,Sp,Precision,F1,MCC
0.36106205,0.026928186,36,11,3,44,,0.85,0.94,0.77,0.80,0.86,0.71
0.34408164,0.02692914,39,8,2,45,,0.89,0.96,0.83,0.85,0.90,0.79
0.34504962,0.025930882,35,12,1,46,,0.86,0.98,0.74,0.79,0.88,0.74
0.342085123,0.025930643,39,8,1,45,,0.90,0.98,0.83,0.85,0.91,0.82
0.341111898,0.025936604,36,10,5,42,,0.84,0.89,0.78,0.81,0.85,0.68
